AXP,DuPont,3M,Walmart,Alcoa,Exxon,McDonald,WaltDisney,Boeing,Ford,Merck,CAT,GE,PG,Chevron,IBM,Pfizer,CocaCola,J&J,UTX
1.9618,1.809,2.1604,1.8763,1.2289,2.0125,1.9775,1.9403,2.085,1.2445,1.76,2.0144,1.4103,1.8958,2.1262,2.2863,1.471,1.6063,2.0061,2.0326
1.9622,1.8065,2.1591,1.8778,1.2302,2.0074,1.9773,1.9357,2.0855,1.243,1.7614,2.0173,1.4098,1.8974,2.123,2.2832,1.4723,1.6096,2.0061,2.0321
1.9679,1.8082,2.1592,1.88,1.2312,2.0121,1.9756,1.9385,2.0897,1.244,1.7619,2.0181,1.4116,1.9012,2.1188,2.285,1.4745,1.6093,2.0065,2.0324
1.9685,1.8094,2.1578,1.8836,1.2191,2.012,1.9756,1.9347,2.0977,1.241,1.7611,2.0317,1.4109,1.8997,2.1145,2.2814,1.4752,1.6076,2.0065,2.0355
1.9689,1.8066,2.1591,1.8816,1.2156,2.009,1.9798,1.9356,2.1079,1.2415,1.7635,2.0383,1.419,1.9003,2.1116,2.2825,1.4765,1.6116,2.0077,2.04
1.9666,1.8105,2.1567,1.8824,1.2114,2.007,1.9855,1.9332,2.1031,1.242,1.7603,2.039,1.4214,1.9013,2.1105,2.2752,1.4747,1.6242,2.0026,2.0482
1.9696,1.8106,2.1583,1.8842,1.2185,2.0056,1.9918,1.9335,2.1009,1.2435,1.7628,2.0388,1.428,1.9028,2.1132,2.2789,1.48,1.6245,2.0048,2.0505
1.9671,1.8062,2.1544,1.8814,1.2057,2.0038,1.9891,1.9296,2.0948,1.237,1.7572,2.0344,1.4214,1.9019,2.1078,2.2789,1.4774,1.6203,1.9987,2.0474
1.974,1.8071,2.1623,1.8829,1.2055,2.0099,1.9931,1.9312,2.1001,1.2373,1.7614,2.0408,1.4223,1.9048,2.1078,2.2786,1.4833,1.6214,2.0066,2.0535
1.9739,1.8041,2.159,1.8828,1.2017,2.0041,1.9976,1.9353,2.1058,1.2353,1.7596,2.0347,1.4205,1.9031,2.1051,2.2698,1.4755,1.6212,2.0111,2.0553
1.9743,1.807,2.1588,1.8811,1.192,2.0054,1.9983,1.9383,2.1072,1.2312,1.7616,2.0357,1.4146,1.9034,2.1111,2.2729,1.473,1.624,2.0198,2.0554
1.974,1.8062,2.1567,1.8826,1.194,2.0013,1.9979,1.939,2.1024,1.2343,1.7636,2.0352,1.4166,1.9025,2.1149,2.2686,1.4706,1.6198,2.0187,2.0526
1.974,1.8065,2.1555,1.884,1.1703,2.0049,1.9988,1.9388,2.098,1.2263,1.7646,2.0328,1.4175,1.905,2.1099,2.2679,1.4695,1.6227,2.0216,2.0502
1.9752,1.8071,2.1578,1.8848,1.167,2.009,2.0009,1.9406,2.098,1.2315,1.7644,2.0359,1.4237,1.9053,2.1118,2.2696,1.4703,1.6196,2.0226,2.0515
1.9733,1.8091,2.1575,1.8817,1.1741,2.006,1.9966,1.9338,2.098,1.2315,1.7616,2.0332,1.4255,1.8993,2.1142,2.2668,1.4717,1.6195,2.0212,2.0523
1.9771,1.8112,2.1585,1.8783,1.1703,2.0052,1.997,1.9375,2.1057,1.2292,1.7642,2.036,1.4214,1.8974,2.111,2.2687,1.4765,1.6216,2.0243,2.0563
1.979,1.8122,2.16,1.8765,1.1688,2.005,2.0005,1.9387,2.1038,1.2289,1.7692,2.0396,1.418,1.8962,2.1121,2.2699,1.4771,1.6224,2.02,2.0579
